title,atu,culture,author,source_page,sources,n_sources
The Fair Angiola,310,Italy,italian_crane_en,type0310.html,catalogue_italian_ashliman|italian_harvested,2
FAIR BROW.,,Italian,italian_crane_en,,italian_harvested,1
THE FAIR FIORITA.,,Italian,italian_crane_en,,italian_harvested,1
Fair Maria Wood,510B,"Italy, Thomas Frederick Crane",italian_crane_en,type0510b.html,catalogue_italian_ashliman|italian_harvested,2
THE FAIRY ORLANDA.,,Italian,italian_crane_en,,italian_harvested,1
A FEAST DAY.,,Italian,italian_crane_en,,italian_harvested,1
Fiabe novelle e racconti popolari siciliani (300+ tales),,Italian (Sicilian),Pitre,,italian_wikipedia,1
THE FIFTH FABLE.,,Italian,italian_straparola_v1_en,,italian_harvested,1
The Fifth Fable (Night 1),,Italian,Straparola,,italian_wikipedia,1
FILAGRANATA.,,Italian,italian_busk_en,,italian_harvested,1
FIRRAZZANU&#x27;S WIFE AND THE QUEEN.,,Italian,italian_crane_en,,italian_harvested,1
THE FIRST FABLE.,,Italian,italian_straparola_v1_en,,italian_harvested,1
The First Fable (Night 1),,Italian,Straparola,,italian_wikipedia,1
The Fish-Dealer of Palermo,1645,Italy,,type1645.html,catalogue_italian_ashliman,1
THE FISHPOND OF ST. FRANCIS.1,,Italian,italian_busk_en,,italian_harvested,1
The Flea,,Italian (Neapolitan),Basile,,italian_harvested|italian_wikipedia,2
THE FOOL.,,Italian,italian_crane_en,,italian_harvested,1
THE FOOLISH WOMAN.1,,Italian,italian_busk_en,,italian_harvested,1
Fortunio,1586,"Italy, Giovanni Francesco Straparola",,type1586.html,catalogue_italian_ashliman,1
THE FOURTH FABLE.,,Italian,italian_straparola_v1_en,,italian_harvested,1
The Fourth Fable (Night 1),,Italian,Straparola,,italian_wikipedia,1
The Frog,402,Austria/Italy,,type0402.html,catalogue_italian_ashliman,1
THE GENTLEMAN WHO KICKED A SKULL.,,Italian,italian_crane_en,,italian_harvested,1
GIACINTA MARESCOTTI.,,Italian,italian_busk_en,,italian_harvested,1
The Girl without Hands,706,Italy / Austria,,type0706.html,catalogue_italian_ashliman,1
Giufà and the Judge,1586,Italy,italian_crane_en,type1586.html,catalogue_italian_ashliman|italian_harvested,2
GIUFÀ AND THE PLASTER STATUE.,,Italian,italian_crane_en,,italian_harvested,1
GIUFÀ&#x27;S EXPLOITS.,,Italian,italian_crane_en,,italian_harvested,1
Giufa and the Judge,,Italian,Crane,,italian_wikipedia,1
GIUSEPPE L’EBREO.,,Italian,italian_busk_en,,italian_harvested,1
THE GLUTTONOUS GIRL.1,,Italian,italian_busk_en,,italian_harvested,1
GOAT-FACE,,Italian,italian_basile_en,,italian_harvested,1
Godfather Death,332,Italy,Sicily,type0332.html,catalogue_italian_ashliman,1
GODFATHER MISERY.,,Italian,italian_crane_en,,italian_harvested,1
GODMOTHER FOX.[A],,Italian,italian_crane_en,,italian_harvested,1
THE GOLDEN ROOT,,Italian,italian_basile_en,,italian_harvested,1
THE GOOD GRACE OF THE HUNCHBACK.1,,Italian,italian_busk_en,,italian_harvested,1
THE GREEDY DAUGHTER.1,,Italian,italian_busk_en,,italian_harvested,1
The Griffin,780,Italy,italian_crane_en,type0780.html,catalogue_italian_ashliman|italian_harvested,2
THE GROOMSMAN,,Italian,italian_crane_en,,italian_harvested,1
Guerrino and the Savage Man,502,"Italy, Giovanni Francesco Straparola",,type0502.html,catalogue_italian_ashliman,1
THE HAPPY COUPLE.1,,Italian,italian_busk_en,,italian_harvested,1
The Hermit and the Three Ruffians,763,Italy,,type0763.html,catalogue_italian_ashliman,1
HOW CAJUSSE WAS MARRIED.1,,Italian,italian_busk_en,,italian_harvested,1
How the Devil Married Three Sisters,311,Italy,italian_crane_en,type0311.html,catalogue_italian_ashliman|italian_harvested,2
HOW THE TALES CAME TO BE TOLD,,Italian,italian_basile_en,,italian_harvested,1
I COCORNI.,,Italian,italian_busk_en,,italian_harvested,1
IN LOVE WITH A STATUE.,,Italian,italian_crane_en,,italian_harvested,1
IN THIS WORLD ONE WEEPS AND ANOTHER LAUGHS.,,Italian,italian_crane_en,,italian_harvested,1
An Inexperienced Youth,1678,"Italy, The Facetiæ of Poggio",,type1678.html,catalogue_italian_ashliman,1
The Ingrates,155,Italy,italian_crane_en,type0155.html,catalogue_italian_ashliman|italian_harvested,2
The Innkeeper's Beautiful Daughter,706,Italy,,type0706.html,catalogue_italian_ashliman,1
An Italian Merchant in Poland,1889F,Italy,,type1889f.html,catalogue_italian_ashliman,1
The Just Man,332,Italy,italian_crane_en,type0332.html,catalogue_italian_ashliman|italian_harvested,2
Juvadi and the Princess,675,Italy,,type0675.html,catalogue_italian_ashliman,1
KING BEAN.,,Italian,italian_crane_en,,italian_harvested,1
The King of Love,,Italian,Crane,,italian_harvested|italian_wikipedia,2
THE KING OF PORTUGAL.,,Italian,italian_busk_en,,italian_harvested,1
KING OTHO.1,,Italian,italian_busk_en,,italian_harvested,1
King Pig,,"Italy, Giovanni Francesco Straparola",,hog.html,catalogue_italian_ashliman,1
THE KING WHO GOES OUT TO DINNER.1,,Italian,italian_busk_en,,italian_harvested,1
THE KING WHO WANTED A BEAUTIFUL WIFE.,,Italian,italian_crane_en,,italian_harvested,1
LA CANDELIERA.1,,Italian,italian_busk_en,,italian_harvested,1
LA CENORIENTOLA.1,,Italian,italian_busk_en,,italian_harvested,1
La Cenorientola (Cinderella),,Italian (Roman),Busk,,italian_wikipedia,1
THE LANGUAGE OF ANIMALS.,,Italian,italian_crane_en,,italian_harvested,1
THE LENTEN PREACHER.,,Italian,italian_busk_en,,italian_harvested,1
Let Him That Does Evil Expect Evil in Return,980,"Italy, Ortensio Lando",,type0980.html,catalogue_italian_ashliman,1
Like Good Salt,,Italy,,salt.html,catalogue_italian_ashliman,1
"The Lion, the Horse, and the Fox",155,Italy,,type0155.html,catalogue_italian_ashliman,1
LIONBRUNO.,,Italian,italian_crane_en,,italian_harvested,1
THE LITTLE BIRD.1,,Italian,italian_busk_en,,italian_harvested,1
Little Chick-Pea,700,Italy,,type0700.html,catalogue_italian_ashliman,1
LITTLE CHICK-PEA.[A],,Italian,italian_crane_en,,italian_harvested,1
The Little Flute,592,Italy,,type0592.html,catalogue_italian_ashliman,1
The Little Omelet,1586,Italy,italian_crane_en,type1586.html,catalogue_italian_ashliman|italian_harvested,2
Little Red Hat,333,Italy/Austria,,type0333.html,catalogue_italian_ashliman,1
"THE LORD, ST. PETER, AND THE APOSTLES.",,Italian,italian_crane_en,,italian_harvested,1
"THE LORD, ST. PETER, AND THE BLACKSMITH.",,Italian,italian_crane_en,,italian_harvested,1
Malchus at the Column,777,Italy,italian_crane_en,type0777.html,catalogue_italian_ashliman|italian_harvested,2
"Maria, the Wicked Stepmother, and the Seven Robbers",709,Italy,,type0709.html,catalogue_italian_ashliman,1
Maria Wood,510B,Italy,Busk,type0510b.html,catalogue_italian_ashliman|italian_wikipedia,2
MARIA WOOD.1,,Italian,italian_busk_en,,italian_harvested,1
THE MARRIAGE OF SIGNOR CAJUSSE.1,,Italian,italian_busk_en,,italian_harvested,1
Maruzzedda,410,Italy,Sicily,type0410.html,catalogue_italian_ashliman,1
THE MASON AND HIS SON.,,Italian,italian_crane_en,,italian_harvested,1
THE MERCHANT,,Italian,italian_basile_en,,italian_harvested,1
Mice in Glurns,,Austria / Italy,,hameln.html,catalogue_italian_ashliman,1
THE MISERLY OLD WOMAN.1,,Italian,italian_busk_en,,italian_harvested,1
MONSU MOSTRO.1,,Italian,italian_busk_en,,italian_harvested,1
THE MONTHS,,Italian,italian_basile_en,,italian_harvested,1
The Most Sensitive Woman,704,Italy,,type0704.html,catalogue_italian_ashliman,1
MR. ATTENTIVE.,,Italian,italian_crane_en,,italian_harvested,1
THE MUNIFICENCE OF PRINCE BORGHESE.,,Italian,italian_busk_en,,italian_harvested,1
The Myrtle,,Italian (Neapolitan),Basile,,italian_harvested|italian_wikipedia,2
NENNILLO AND NENNELLA,,Italian,italian_basile_en,,italian_harvested,1
NINA.,,Italian,italian_busk_en,,italian_harvested,1
Novellaja fiorentina,,Italian (Tuscan),Imbriani,,italian_wikipedia,1
Novellaja milanese,,Italian (Lombard),Imbriani,,italian_wikipedia,1
Novelline Popolari Italiane,,Italian (various regions),Comparetti,,italian_wikipedia,1
NUN BEATRICE.1,,Italian,italian_busk_en,,italian_harvested,1
OCCASION.,,Italian,italian_crane_en,,italian_harvested,1
OF A GODFATHER AND A GODMOTHER OF ST. JOHN WHO MADE LOVE.,,Italian,italian_crane_en,,italian_harvested,1
Of a Woman Who Persisted in Calling Her Husband Lousy,1365A,Italy,,type1365abc.html,catalogue_italian_ashliman,1
Of One Who Sought His Wife Who Had Drowned in a River,1365A,Italy,,type1365abc.html,catalogue_italian_ashliman,1
THE OLD MISER.1,,Italian,italian_busk_en,,italian_harvested,1
ORAGGIO AND BIANCHINETTA.,,Italian,italian_crane_en,,italian_harvested,1
PADRE FILIPPO.,,Italian,italian_busk_en,,italian_harvested,1
PADRE FONTANAROSA.,,Italian,italian_busk_en,,italian_harvested,1
