atu,topic,title,culture,author,origin_raw,source_page
563,Three Magic Gifts,The Ass That Lays Money,Italy,,Italy,type0563.html
700,Tom Thumb,Little Chick-Pea,Italy,,Italy,type0700.html
1655,Trading Up (2),The Sexton's Nose,Italy,,Italy,type1655.html
763,Treasure Finders Murder One Another,The Hermit and the Three Ruffians,Italy,,Italy,type0763.html
2250,Unfinished and Endless Stories,A Storyteller of Messer Azzolino,Italy,,Italy,type2250.html
2250,Unfinished and Endless Stories,The Treasure,Italy,,Italy,type2250.html
2250,Unfinished and Endless Stories,The Shepherd,Italy,,Italy,type2250.html
777,The Wandering Jew,The Story of Judas,Italy,,Italy,type0777.html
777,The Wandering Jew,Malchus at the Column,Italy,,Italy,type0777.html
777,The Wandering Jew,Buttadeu,Italy,,Italy,type0777.html
4050,Water Spirit Legends 2 The Hour Is Come but the Man Is Not,Time Is Up,Austria/Italy,,Austria/Italy,type4050.html
,Weather and Climate Legends,The Thousand Years of Cold are Coming,Italy/Austria,,Italy/Austria,weather.html
1365A,The Contrary Wife,Of a Woman Who Persisted in Calling Her Husband Lousy,Italy,,Italy,type1365abc.html
1365A,The Contrary Wife,Of One Who Sought His Wife Who Had Drowned in a River,Italy,,Italy,type1365abc.html
1365A,The Contrary Wife,Scissors They Were,Italy,,Italy,type1365abc.html
1375,Wives Rule Over Their Husbands,Boots,Italy,,Italy,type1375.html
502,The Wild Man As Helper,Guerrino and the Savage Man,"Italy, Giovanni Francesco Straparola",,"Italy, Giovanni Francesco Straparola",type0502.html
311,How the Devil Married Three Sisters,How the Devil Married Three Sisters,Italy,,Italy,type0311.html
311,How the Devil Married Three Sisters,The Devil,Italy,Venice,Italy (Venice),type0311.html
501,The Three Spinning Women,The Beautiful Glutton,Italy,Tuscany,Italy (Tuscany),type0501.html
501,The Three Spinning Women,The Seven Bits of Bacon Rind,Italy,,Italy,type0501.html
1558,Clothes Make the Man,"Eat, My Clothes!",Italy,,Italy,type1558.html
402,Animal Brides,The Frog,Austria/Italy,,Austria/Italy,type0402.html
709,Snow-White,The Young Slave,"Italy, Giambattista Basile, Il Pentamerone",,"Italy, Giambattista Basile, Il Pentamerone",type0709.html
709,Snow-White,"Maria, the Wicked Stepmother, and the Seven Robbers",Italy,,Italy,type0709.html
709,Snow-White,The Crystal Casket,Italy,,Italy,type0709.html
510A,Cinderella,Cinderella,Italy,,Italy,type0510a.html
,Hog Bridegrooms,King Pig,"Italy, Giovanni Francesco Straparola",,"Italy, Giovanni Francesco Straparola",hog.html
