title,atu,culture,author,source_page,sources,n_sources
The Bulbul and the Cotton-tree,,,,,indian_harvested|indian_stokes,2
The Bull and the Bullfinch,,,,,indian_harvested,1
The Bullfrog and the Crab.,,,,,indian_harvested,1
The Bullock's Balls,555,India,,type0555.html,catalogue_indian_ashliman,1
THE BUNNIAH’S GHOST,,,,,indian_harvested,1
THE BUNNIAH’S WIFE AND THE THIEF,,,,,indian_harvested,1
The Camel&#x27;s Neck,,,,,indian_harvested,1
Capturing Monkeys,68A,India,,type0068a.html,catalogue_indian_ashliman,1
The Cat and the Dog,,,,,indian_harvested|indian_stokes,2
The Cat and the Parrot,,,,,indian_harvested,1
The Cat and the Sparrows,,,,,indian_harvested,1
The Cat which could not be killed,,,,,indian_harvested|indian_stokes,2
The Cat Who Became a Queen,402,India,,type0402.html,catalogue_indian_ashliman,1
Catching a Thief.,,,,,indian_harvested,1
The Caterpillar Boy,,India,,snake.html,catalogue_indian_ashliman|indian_harvested,2
THE CAUSE OF A LAWSUIT BETWEEN THE OWL AND THE KITE,,,,,indian_harvested,1
Chando and His Wife.,,,,,indian_harvested,1
CHANDRA’S VENGEANCE.,,,,,indian_harvested,1
Chandralêkhâ and the Eight Robbers.,,,,,indian_harvested,1
The Changed Calf.,,,,,indian_harvested,1
The Charitable Jogi.,,,,,indian_harvested,1
The Charitable Raja.,,,,,indian_harvested,1
“Charity Alone Conquers.”,,,,,indian_harvested,1
The Charmed Ring,,,,,indian_harvested,1
The Child Who Knew His Father.,,,,,indian_harvested,1
The Child with the Ears of an Ox,782,India,,type0782.html,catalogue_indian_ashliman|indian_harvested,2
The Children and the Vultures.,,,,,indian_harvested,1
Chote and Mote.,,,,,indian_harvested,1
CHUNDUN RAJAH.,,,,,indian_harvested,1
The Clever Goat,,,,,indian_harvested,1
A Clever Thief.,,,,,indian_harvested,1
The Clever Wife,,,,,indian_stokes,1
THE CLOSE ALLIANCE,,,,,indian_harvested,1
The Coldest Season.,,,,,indian_harvested,1
CONCLUSION,,,,,indian_harvested,1
The Conquest of Fate.,,,,,indian_harvested,1
The Corpse of the Raja’s Son.,,,,,indian_harvested,1
THE CRAB AND THE CRANE,,,,,indian_harvested,1
The Crane and the Fish,231,India,,type0231.html,catalogue_indian_ashliman,1
The Crane and the Makara,231,"India, The Kathá Sarit Ságara",,type0231.html,catalogue_indian_ashliman,1
"The Crane, the Crab, and the Fish",231,India,,type0231.html,catalogue_indian_ashliman,1
The Crocodile and the Monkey,,,,,indian_harvested,1
"The Crocodile, the Brahman, and the Fox",155,India,,type0155.html,catalogue_indian_ashliman,1
A Crow and His Three Friends,,,,,indian_harvested,1
The Crow and the Egret.,,,,,indian_harvested,1
A Crow is a Crow for Ever,,,,,indian_harvested,1
THE CROW WITH THE GOLDEN CAP,,,,,indian_harvested,1
The Cruel Crane Outwitted,231,"India, The Jataka",,type0231.html,catalogue_indian_ashliman|indian_harvested,2
The Cruel Stepmother.,,,,,indian_harvested,1
The Cunning Crane and the Crab,,,,,indian_harvested,1
The Cunning Jackal,,,,,indian_harvested,1
THE CUNNING WOLF,,,,,indian_harvested,1
The Cure for Laziness.,,,,,indian_harvested,1
ĀDARŚAMUKHA,,,,,indian_harvested,1
The Daydreamer,1430,"India, Henry Cecil Bompas",,type1430.html,catalogue_indian_ashliman|indian_harvested,2
THE DEAD MAN’S RING,,,,,indian_harvested,1
The Deaf Family.,,,,,indian_harvested,1
THE DEATH AND BURIAL OF POOR HEN-SPARROW,,,,,indian_harvested,1
The Demon is at last conquered by the King's Son,,,,,indian_stokes,1
The Demon is at last conquered by the King&#x27;s Son,,,,,indian_harvested,1
The Demon with the Matted Hair,175,"India, Jataka Tales, retold by Joseph Jacobs",,type0175.html,catalogue_indian_ashliman|indian_harvested,2
The Dishonest Friend,,,,,indian_harvested,1
The Divorce.,,,,,indian_harvested,1
The Dog Bride,402,India,,type0402.html,catalogue_indian_ashliman|indian_harvested,2
THE DOG TEMPLE,,,,,indian_harvested,1
The Dog That Went Abroad,112,India,,type0112.html,catalogue_indian_ashliman,1
THE DOG WHO WAS A RAJAH,,,,,indian_harvested,1
Don't Beat Grandfather,980,India,,type0980.html,catalogue_indian_ashliman,1
The Dream.,,,,,indian_harvested,1
Dukhu and His Bonga Wife.,,,,,indian_harvested,1
THE DUMB CRIPPLE,,,,,indian_harvested,1
The Dumb Shepherd.,,,,,indian_harvested,1
THE EIGHTH KEY.,,,,,indian_harvested,1
The Elephant and the Ants.,,,,,indian_harvested,1
THE ELEPHANT AND THE DOG,,,,,indian_harvested,1
THE ELEPHANT GIRLY-FACE,,,,,indian_harvested,1
"THE ENCHANTED BIRD, MUSIC, AND STREAM",,,,,indian_harvested,1
The Enchanted Brahman's Son,,India. The Panchatantra,,snake.html,catalogue_indian_ashliman,1
Enigmas,1562A,India,,type1562a.html,catalogue_indian_ashliman|indian_harvested,2
The Evil Eye of Sani,,,,,indian_harvested,1
The Extortionate Sentry.,,,,,indian_harvested,1
The Fairy Prince Cloud-chariot and the Serpent Shell-crest (Goblin 15),,,,,indian_harvested,1
THE FAITHFUL PRINCE,,,,,indian_harvested,1
The Fakir Nanaksa saves the Merchant's life,,,,,indian_stokes,1
The Fan Prince,,,,,indian_stokes,1
THE FARMER AND THE MONEY-LENDER,,,,,indian_harvested,1
The Farmer&#x27;s Ass,,,,,indian_harvested,1
The Father and Son who married Daughter and Mother (Goblin 22),,,,,indian_harvested,1
The Father and the Father-in-Law.,,,,,indian_harvested,1
The Father-in-Law’s Visit.,,,,,indian_harvested,1
The Ferryman.,,,,,indian_harvested,1
The Field of Bones,,,,,indian_harvested,1
The Fish Prince,,,,,indian_harvested,1
THE FIVE LOVERS,,,,,indian_harvested,1
THE FLIGHT OF THE BEASTS,,,,,indian_harvested,1
The Flycatcher’s Egg.,,,,,indian_harvested,1
The Fool and His Dinner.,,,,,indian_harvested,1
THE FOOLHARDY WOLF,,,,,indian_harvested,1
The Foolish Bald Man and the Fool Who Pelted Him,,India,,bald.html,catalogue_indian_ashliman,1
The Foolish Farmer and the King,,,,,indian_harvested,1
The Foolish Fish,,,,,indian_harvested,1
The Foolish Sons.,,,,,indian_harvested,1
"THE FOOLISH, TIMID RABBIT",,,,,indian_harvested,1
The Foolish Wolf,,,,,indian_harvested,1
The Four Brothers,,,,,indian_harvested,1
The Four Brothers who brought a Dead Lion to Life (Goblin 20),,,,,indian_harvested,1
THE FOUR-GIFTED PRINCESS,,,,,indian_harvested,1
The Four Jogis,1641,India,,type1641.html,catalogue_indian_ashliman|indian_harvested,2
The Four Scientific Suitors (Goblin 9),,,,,indian_harvested,1
"The Fourth Lady, Her Husband, and the Brahmin",1423,India/Persia,,type1423.html,catalogue_indian_ashliman,1
THE FOURTH WIFE IS THE WISEST,,,,,indian_harvested,1
A Fox and His Wife.,,,,,indian_harvested,1
Fox and Wolf,2,American Indian,,type0002.html,catalogue_indian_ashliman,1
The Friday Story,,,,,indian_harvested,1
The Frog and the Snake,,,,,indian_harvested,1
THE FULFILLED PROPHECY,,,,,indian_harvested,1
Fuljhari Raja.,,,,,indian_harvested,1
A FUNNY STORY.,,,,,indian_harvested,1
The Gardener’s Cunning Wife.,,,,,indian_harvested,1
THE GAZELLE AND THE HUNTER,,,,,indian_harvested,1
The Ghormuhas.,,,,,indian_harvested,1
The Ghost-Brahman,,,,,indian_harvested,1
The Ghost who was Afraid of being Bagged,,,,,indian_harvested,1
A Ghostly Wife,,,,,indian_harvested,1
The Giant Crab,,,,,indian_harvested,1
THE GIRL MONKEY AND THE STRING OF PEARLS,,,,,indian_harvested,1
The Girl who always found helpers.,,,,,indian_harvested,1
The Girl Who Found Helpers.,,,,,indian_harvested,1
The Girl who showed Great Devotion to the Thief (Goblin 13),,,,,indian_harvested,1
The Girl who transposed the Heads of her Husband and Brother (Goblin 6),,,,,indian_harvested,1
The Goala and the Cow.,,,,,indian_harvested,1
The Goala’s Daughter.,,,,,indian_harvested,1
The Goat and the Hog,,,,,indian_harvested,1
The Goblin and the Sneeze,,,,,indian_harvested,1
The Goblin City,,,,,indian_harvested,1
The Goblin in the Pool,,,,,indian_harvested,1
The Gold-giving Serpent,,,,,indian_harvested,1
THE GOLDEN GOOSE,,,,,indian_harvested,1
THE GOLDEN SCORPIONS,,,,,indian_harvested,1
The Golden Temple,,,,,indian_harvested,1
The Good Daughter-in-Law.,,,,,indian_harvested,1
The Good Husband and the Bad Wife,1741,India,,type1741.html,catalogue_indian_ashliman|indian_harvested,2
"Good Luck to the Lucky One; Or, Shall I Fall Down?",,,,,indian_harvested,1
The Good Wife and the Bad Husband,1540,India,,type1540.html,catalogue_indian_ashliman,1
The Good Wife and the Bad Husband.1,,,,,indian_harvested,1
Good Will Grow Out of Good.,,,,,indian_harvested,1
The Grain of Corn,2034D,India,,type2034d.html,catalogue_indian_ashliman|indian_harvested,2
GRANNY&#x27;S BLACKIE,,,,,indian_harvested,1
The Grasping Raja.,,,,,indian_harvested,1
The Grateful Animals and the Ungrateful Man,160,"India, The Panchatantra",,type0160.html,catalogue_indian_ashliman|indian_harvested,2
The Grateful Beasts and the Ungrateful Prince,,,,,indian_harvested,1
The Grateful Goat,,,,,indian_harvested,1
The Great Yellow King and His Porter,,,,,indian_harvested,1
The Greatest Cheat of Seven.,,,,,indian_harvested,1
The Greedy and Ambitious Cat,112,India,,type0112.html,catalogue_indian_ashliman,1
THE GUILTY DOGS,,,,,indian_harvested,1
"Gumda, the Hero.",,,,,indian_harvested,1
HAIDARABAD.,,,,,indian_harvested,1
Hares and Men.,,,,,indian_harvested,1
Harisarman,1641,India,,type1641.html,catalogue_indian_ashliman|indian_harvested,2
THE HAWKS AND THEIR FRIENDS,,,,,indian_harvested,1
The Herd Boy and the Witches.,,,,,indian_harvested,1
The Hermit’s Daughter.,,,,,indian_harvested,1
The Heron and the Crab,231,"India, The Book of Kalilah and Dimnah",,type0231.html,catalogue_indian_ashliman,1
The Heron That Liked Crab-Meat,231,"India, The Panchatantra",,type0231.html,catalogue_indian_ashliman,1
The House Bonga.,,,,,indian_harvested,1
How a Tiger Was Killed.,,,,,indian_harvested,1
How a Woman Could Not Keep a Secret,1381,India,,type1381.html,catalogue_indian_ashliman,1
HOW A WOMAN REQUITES LOVE,,,,,indian_harvested,1
How an Ungrateful Son Planned to Murder His Old Father,980,"India, The Jataka",,type0980.html,catalogue_indian_ashliman,1
How King Burtal became a Fakir,,,,,indian_stokes,1
How Prince Five-Weapons Fought the Ogre Hairy-Grip,175,"India, Jataka Tales",,type0175.html,catalogue_indian_ashliman,1
HOW RAJA RASÂLU BECAME A JÔGI,,,,,indian_harvested,1
HOW RAJA RASÂLU JOURNEYED TO THE CITY OF KING SARKAP,,,,,indian_harvested,1
HOW RAJA RASÂLU PLAYED CHAUPUR WITH KING SARKAP,,,,,indian_harvested,1
"HOW RAJA RASÂLU SWUNG THE SEVENTY FAIR MAIDENS, DAUGHTERS OF THE KING",,,,,indian_harvested,1
HOW RAJA RASÂLU WAS BORN,,,,,indian_harvested,1
HOW RAJA RASÂLU WENT OUT INTO THE WORLD,,,,,indian_harvested,1
HOW RAJA RASÂLU&#x27;S FRIENDS FORSOOK HIM,,,,,indian_harvested,1
How Sabai Grass Grew.,,,,,indian_harvested,1
How the Cowherd Found a Bride.,,,,,indian_harvested,1
HOW THE MONKEY SAVED HIS TROOP,,,,,indian_harvested,1
How the Mouse got into his Hole,,,,,indian_harvested,1
How the Raja's Son won the Princess Labam,,,,,indian_stokes,1
How the Raja&#x27;s Son won the Princess Labam.,,,,,indian_harvested,1
"HOW THE SUN, THE MOON AND THE WIND WENT OUT TO DINNER.",,,,,indian_harvested,1
HOW THE THREE CLEVER MEN OUTWITTED THE DEMONS.,,,,,indian_harvested,1
HOW THE TURTLE SAVED HIS OWN LIFE,,,,,indian_harvested,1
How the Washerman's Ass Became a Qazi,1675,India,,type1675.html,catalogue_indian_ashliman,1
How the Wicked Sons were Duped.,,,,,indian_harvested,1
How to Grow Rich.,,,,,indian_harvested,1
The Husband and the Wife Who Made a Wager as to Who Would Eat the Pancake,1351,India / China,,type1351.html,catalogue_indian_ashliman,1
The Hyaena Outwitted.,,,,,indian_harvested,1
