atu,topic,title,culture,author,origin_raw,source_page
,Aging and Death in Folklore,No one wants to die,,,,aging.html
,Aging and Death in Folklore,Death's approach should surprise no one,,,,aging.html
,Aging and Death in Folklore,Attempts to trick death,,,,aging.html
,Aging and Death in Folklore,Death trivialized,The death of the little hen,,The death of the little hen,aging.html
,Aging and Death in Folklore,An animal mourns the death of a spouse,,,,aging.html
,Aging and Death in Folklore,The fleeing pancake,,,,aging.html
,Aging and Death in Folklore,The day the sky fell in,,,,aging.html
,Aging and Death in Folklore,Death as punishment,"Bogeys, hobgoblins, and bugbears",,"Bogeys, hobgoblins, and bugbears",aging.html
,Aging and Death in Folklore,Excessive grief,,,,aging.html
,Aging and Death in Folklore,Death as a divine release,,,,aging.html
1430,Air Castles,The Broken Pot,The Panchatantra,,The Panchatantra,type1430.html
1430,Air Castles,The Poor Man and the Flask of Oil,Bidpai,,Bidpai,type1430.html
1430,Air Castles,The Story of the Devotee Who Spilt the Jar of Honey and Oil,India/Persia,,India/Persia,type1430.html
1430,Air Castles,What Happened to the Ascetic When He Lost His Honey and Oil,Kalilah and Dimnah,,Kalilah and Dimnah,type1430.html
1430,Air Castles,The Daydreamer,"India, Henry Cecil Bompas",,"India, Henry Cecil Bompas",type1430.html
1430,Air Castles,Sheik Chilli,"India, Alice Elizabeth Dracott",,"India, Alice Elizabeth Dracott",type1430.html
1430,Air Castles,The Fakir and His Jar of Butter,The 1001 Nights,,The 1001 Nights,type1430.html
1430,Air Castles,The Barber's Tale of His Fifth Brother,1001 Nights,,1001 Nights,type1430.html
1430,Air Castles,Day-Dreaming,The 1001 Nights,,The 1001 Nights,type1430.html
1430,Air Castles,The Milkmaid and Her Pail,Aesop,,Aesop,type1430.html
1430,Air Castles,"Story of an Old Woman, Carrying Milk to Market in an Earthen Vessel.",Jacques de Vitry,,Jacques de Vitry,type1430.html
1430,Air Castles,What Happened to a Woman Called Truhana,"Spain, Prince Don Juan Manuel",,"Spain, Prince Don Juan Manuel",type1430.html
1430,Air Castles,The Dairywoman and the Pot of Milk,"France, Jean de La Fontaine",,"France, Jean de La Fontaine",type1430.html
1430,Air Castles,Lazy Heinz,Jacob and Wilhelm Grimm,,Jacob and Wilhelm Grimm,type1430.html
1430,Air Castles,Lean Lisa,Jacob and Wilhelm Grimm,,Jacob and Wilhelm Grimm,type1430.html
1430,Air Castles,"Buttermilk JackEngland, Thomas Hughes Ther wur an owld 'oman as had but one son, And thay lived together as you med zee; And they'd nought but an owld hen as wanted to sett, Yet somehow a landlord he fain would be. Oh, I've been and begged me some buttermilk, mother, Off of an owld 'oman as has girt store; And I shall well rewarded be, Vor she's g'in me haf a gallon or mwore. Oh mother, my buttermilk I will sell, And all for a penny as you med zee; And with my penny then I will buy eggs, Vor I shall have seven for my penney. Oh mother, I'll set them all under our hen, And seven cock chickens might chance for to be; But seven cock chickens or seven cap hens, There'll be seven half-crownds for me. Oh, I'll go carry them to market, mother, And nothing but vine volk shall I zee; And with my money then I will buy land, Zo as a landlord I med be. ""Oh my dear zon, wilt thee know me, When thee hast gotten great store of wealth?"" ""Oh, my dear mother, how shall I know thee, When I shall hardly know my own self?"" With that the owld 'oman she flew in a passion, And dashed her son Jack up agin the wall, And his head caught the shelf where the buttermilk stood, So down came the buttermilk, pitcher and all. Zo aal you as has got an old hen for to sett, Both by night and by day mind you has her well watched, Lest you should be like unto Buttermilk Jack, To reckon your chickens before thay are hatched. Source: Thomas Hughes The Scouring of the White Horse; or, The Long Vacation Ramble of a London Clerk (Cambridge and London: Macmillan and Company, 1859), pp. 171-72. According to the narrator, this song was sung at a country fair ""by a queer little man, with a twisted face, and a lurcher dog between his knees."" Thomas Hughes, best known for his novel Tom Brown's School Days (1857), was born in 1822 and died in 1896. Return to the table of contents. Story",Ireland,,Ireland,type1430.html
1430,Air Castles,Air Castles,Denmark,,Denmark,type1430.html
1430,Air Castles,Great Expectations,Denmark,,Denmark,type1430.html
1430,Air Castles,The Egg,Denmark,,Denmark,type1430.html
1430,Air Castles,The Lad and the Fox,Sweden,,Sweden,type1430.html
1430,Air Castles,The Peasant and the Cucumbers,Leo Tolstoy,,Leo Tolstoy,type1430.html
1430,Air Castles,The Milkmaid and Her Bucket,Ambrose Bierce,,Ambrose Bierce,type1430.html
,Ali Baba and the Forty Thieves,1001 Nights,,,,alibaba.html
,Ali Baba and the Forty Thieves,The Forty Thieves,Retold by Andrew Lang,,Retold by Andrew Lang,alibaba.html
,Ali Baba and the Forty Thieves,Ali Baba and the Forty Thieves,Translated by Richard F. Burton,,Translated by Richard F. Burton,alibaba.html
,"Amleth, Prince of Denmark",From the Gesta Danorum of Saxo Grammaticus,,,,amleth.html
,"Amleth, Prince of Denmark","Amleth, Prince of Denmark",,,,amleth.html
156,Androcles and the Lion,Androcles,Aesop,,Aesop,type0156.html
156,Androcles and the Lion,The Slave and the Lion,Aesop,,Aesop,type0156.html
156,Androcles and the Lion,Androcles and the Lion,Joseph Jacobs,,Joseph Jacobs,type0156.html
156,Androcles and the Lion,The Lion and the Saint,Andrew Lang,,Andrew Lang,type0156.html
156,Androcles and the Lion,Of the Remembrance of Benefits,Gesta Romanorum,,Gesta Romanorum,type0156.html
156,Androcles and the Lion,The Lion and the Thorn,Ambrose Bierce,,Ambrose Bierce,type0156.html
,Animal Brides and Animal Bridegrooms,Tales Told by North American Indians,,,,animalindian.html
,Animal Brides and Animal Bridegrooms,The Bear Who Married a Woman,Tsimshian,,Tsimshian,animalindian.html
,Animal Brides and Animal Bridegrooms,The Girl Who Married the Crow,Thompson,Ntlakyapamuk,Thompson (Ntlakyapamuk),animalindian.html
,Animal Brides and Animal Bridegrooms,The Woman Who Became a Horse,Thompson,Ntlakyapamuk,Thompson (Ntlakyapamuk),animalindian.html
,Animal Brides and Animal Bridegrooms,The Woman Who Became a Horse,Skidi Pawnee,,Skidi Pawnee,animalindian.html
,Animal Brides and Animal Bridegrooms,The Bear Woman,Okanagon,,Okanagon,animalindian.html
,Animal Brides and Animal Bridegrooms,The Fish-Man,Salish,,Salish,animalindian.html
,Animal Brides and Animal Bridegrooms,The Man Who Married a Bear,Nez Percé,,Nez Percé,animalindian.html
,Animal Brides and Animal Bridegrooms,Of the Woman Who Loved a Serpent Who Lived in a Lake,Passamaquoddy,,Passamaquoddy,animalindian.html
280A,The Ant and the Grasshopper,"The Fable of the Ant and of the Sygalle [Cigala, Grasshopper]",Aesop,"Caxton, 1484","Aesop (Caxton, 1484)",type0280a.html
280A,The Ant and the Grasshopper,An Ant and a Grasshopper,Anianus,"L'Estrange, 1692","Anianus (L'Estrange, 1692)",type0280a.html
280A,The Ant and the Grasshopper,An Ant Formerly a Man,Aesop,"L'Estrange, 1692","Aesop (L'Estrange, 1692)",type0280a.html
280A,The Ant and the Grasshopper,The Ant and the Grasshopper,Aesop,"Croxall, 1775","Aesop (Croxall, 1775)",type0280a.html
280A,The Ant and the Grasshopper,The Ant and the Grasshopper,Aesop,"Bewick, 1818","Aesop (Bewick, 1818)",type0280a.html
280A,The Ant and the Grasshopper,The Ant and the Grasshopper,"Aesop, James, 1848",,"Aesop, James, 1848",type0280a.html
280A,The Ant and the Grasshopper,The Ant and the Grasshopper,Aesop,"Jacobs, 1894","Aesop (Jacobs, 1894)",type0280a.html
280A,The Ant and the Grasshopper,The Grasshopper and the Ants,Aesop,"Jones, 1912","Aesop (Jones, 1912)",type0280a.html
280A,The Ant and the Grasshopper,The Grasshopper and the Ant,Jean de La Fontaine,,Jean de La Fontaine,type0280a.html
280A,The Ant and the Grasshopper,The Grasshopper and the Ant,Ambrose Bierce,,Ambrose Bierce,type0280a.html
280A,The Ant and the Grasshopper,The Ants and the Grasshopper,Ambrose Bierce,,Ambrose Bierce,type0280a.html
280A,The Ant and the Grasshopper,The Story of the Little Red Hen,"Children's Story, USA",,"Children's Story, USA",type0280a.html
,"Arthur, Legendary King of Britain",Editions used:,,,,arthur.html
,"Arthur, Legendary King of Britain",Arthur's Conception and Birth,Geoffrey of Monmouth,,Geoffrey of Monmouth,arthur.html
,"Arthur, Legendary King of Britain","Alfred, Lord Tennyson",,,,arthur.html
,"Arthur, Legendary King of Britain",Arthur Is Chosen King,Sir Thomas Malory,,Sir Thomas Malory,arthur.html
,"Arthur, Legendary King of Britain",Arthur Gets the Sword Excalibur from the Lady of the Lake,Sir Thomas Malory,,Sir Thomas Malory,arthur.html
,"Arthur, Legendary King of Britain",Arthur Marries Guinevere,The Account of Geoffrey of Monmouth,,The Account of Geoffrey of Monmouth,arthur.html
,"Arthur, Legendary King of Britain",The Account of Sir Thomas Malory,,,,arthur.html
,"Arthur, Legendary King of Britain",Arthur Kills a Giant at Mont-Saint-Michel,Geoffrey of Monmouth,,Geoffrey of Monmouth,arthur.html
,"Arthur, Legendary King of Britain",Mordred's Treachery.,The Account of Geoffrey of Monmouth,,The Account of Geoffrey of Monmouth,arthur.html
,"Arthur, Legendary King of Britain",Arthur's Death,The Account of Geoffrey of Monmouth,,The Account of Geoffrey of Monmouth,arthur.html
,Bald Stories,A Man and Two Wives,Aesop,,Aesop,bald.html
,Bald Stories,The Man and His Two Wives,Aesop,,Aesop,bald.html
,Bald Stories,The Middle-Aged Man between Two Ages and His Two Mistresses,Jean de La Fontaine,,Jean de La Fontaine,bald.html
,Bald Stories,A Horse-Man's Wig Blown Off,Avianus,,Avianus,bald.html
,Bald Stories,The Bald Man and the Fly,Aesop,,Aesop,bald.html
,Bald Stories,"The Pedant, the Bald Man, and the Barber",Europe,,Europe,bald.html
,Bald Stories,The Foolish Bald Man and the Fool Who Pelted Him,India,,India,bald.html
,Bald Stories,The Bald Man and the Hair-Restorer,India,,India,bald.html
,Bald Stories,How Saint Peter Lost His Hair,Germany,,Germany,bald.html
,Bald Stories,Old Hanrahan,Ireland,,Ireland,bald.html
,Bald Stories,How Come Mr. Buzzard to Have a Bald Head,African-American,,African-American,bald.html
1161,The Bear Trainer and His Cat,Peer Gynt and the Trolls,Norway,,Norway,type1161.html
1161,The Bear Trainer and His Cat,The Cat on the Dovrefjell,Norway,,Norway,type1161.html
1161,The Bear Trainer and His Cat,The Cat of Norrhult,Sweden,,Sweden,type1161.html
1161,The Bear Trainer and His Cat,The Troll and the Bear,Norway,,Norway,type1161.html
1161,The Bear Trainer and His Cat,The Kobold and the Polar Bear,Germany,,Germany,type1161.html
1161,The Bear Trainer and His Cat,The Cat Mill,Germany,,Germany,type1161.html
1161,The Bear Trainer and His Cat,The Water Nix in the Oil Mill near Frauendorf,Germany,,Germany,type1161.html
1161,The Bear Trainer and His Cat,The Water-Man,Moravia,,Moravia,type1161.html
1161,The Bear Trainer and His Cat,The Kelpie and the Boar,Scotland,,Scotland,type1161.html
361,Bearskin,and other folktales of type 361,,,,type0361.html
361,Bearskin,Bearskin,Hans Jakob Christoph von Grimmelshausen,,Hans Jakob Christoph von Grimmelshausen,type0361.html
361,Bearskin,Devil Greenjacket,Germany,,Germany,type0361.html
361,Bearskin,Bearskin,Jacob and Wilhelm Grimm,,Jacob and Wilhelm Grimm,type0361.html
361,Bearskin,Go to the Devil,Germany,Lower Lusatia,Germany (Lower Lusatia),type0361.html
361,Bearskin,The Devil as Partner,Switzerland,,Switzerland,type0361.html
361,Bearskin,Hell's Gatekeeper,Austria,,Austria,type0361.html
361,Bearskin,Two for One,Italy,,Italy,type0361.html
361,Bearskin,The Bear Man,Denmark,,Denmark,type0361.html
361,Bearskin,Never-Wash,Russia,,Russia,type0361.html
361,Bearskin,Don Giovanni de la Fortuna,Sicily,,Sicily,type0361.html
361,Bearskin,The Reward of Kindness,Philippines,,Philippines,type0361.html
361,Bearskin,The King's Tabernacle,Wales,,Wales,type0361.html
425C,Beauty and the Beast,Beauty and the Beast,Joseph Jacobs,,Joseph Jacobs,type0425c.html
425C,Beauty and the Beast,The Small-Tooth Dog,England,,England,type0425c.html
425C,Beauty and the Beast,Rose,Irish-American,,Irish-American,type0425c.html
425C,Beauty and the Beast,The Summer and Winter Garden,Jacob and Wilhelm Grimm,,Jacob and Wilhelm Grimm,type0425c.html
425C,Beauty and the Beast,The Clinking Clanking Lowesleaf,Germany,,Germany,type0425c.html
425C,Beauty and the Beast,The Little Nut Twig,Germany,,Germany,type0425c.html
425C,Beauty and the Beast,Little Broomstick,Germany,,Germany,type0425c.html
425C,Beauty and the Beast,Beauty and the Horse,Denmark,,Denmark,type0425c.html
