atu,topic,title,culture,author,origin_raw,source_page
425C,Beauty and the Beast,Beauty and the Beast,Basque,,Basque,type0425c.html
451,The Brothers Who Were Turned into Birds,The Sister and Her Seven Brothers,Basque,,Basque,type0451.html
510B,The Father Who Wanted to Marry His Daughter,Ass'-Skin,"Basque, Wentworth Webster",,"Basque, Wentworth Webster",type0510b.html
1137F,Self Did It,The Fairy in the House,Basque,,Basque,type1137fairy.html
650A,The Strong Boy,Fourteen,Basque,,Basque,type0650a.html
311,How the Devil Married Three Sisters,The Cobbler and His Three Daughters (Blue Beard),Basque,,Basque,type0311.html
