atu,topic,title,culture,author,origin_raw,source_page
510B,The Father Who Wanted to Marry His Daughter,The Princess Who Would Not Marry Her Father,Portugal,,Portugal,type0510b.html
510B,The Father Who Wanted to Marry His Daughter,The Horse's Skin,Portugal,,Portugal,type0510b.html
306,The Shoes That Were Danced to Pieces,The Seven Iron Slippers,Portugal,,Portugal,type0306.html
900,Taming a Shrewish Wife: The Proud Princess,The Count of Paris,Portugal,,Portugal,type0900.html
175,The Tar-Baby,King Robin,Spain/Portugal,,Spain/Portugal,type0175.html
510A,Cinderella,The Hearth-Cat,Portugal,,Portugal,type0510a.html
