title,atu,culture,author,source_page,sources,n_sources
Iṭi Aśwayā,,,,,ceylon_harvested,1
Ibi Kumārayā,,,,,ceylon_harvested,1
The Invisible Silk Robe,,,,,ceylon_harvested,1
The Jackal and the Brāhmaṇa,,,,,ceylon_harvested,1
The Jackal and the Gamarāla,,,,,ceylon_harvested,1
The Jackal and the Hare,,,,,ceylon_harvested,1
The Jackal and the Leopard,,,,,ceylon_harvested,1
The Jackal and the Turtle,,,,,ceylon_harvested,1
The Jackal Dēvatāwā,,,,,ceylon_harvested,1
The Jackal’s Judgment,,,,,ceylon_harvested,1
A Kaḍambāwa Man’s Journey to Puttalam,,,,,ceylon_harvested,1
The Kaḍambāwa Men and the Bush,,,,,ceylon_harvested,1
The Kaḍambāwa Men and the Dream,,,,,ceylon_harvested,1
The Kaḍambāwa Men and the Hares,,,,,ceylon_harvested,1
The Kaḍambāwa Men and the Mouse-deer,,,,,ceylon_harvested,1
The Kabaragoyā and the Widow,,,,,ceylon_harvested,1
King Gaja-Bāhu and the Crow,,,,,ceylon_harvested,1
The King who became a Thief,,,,,ceylon_harvested,1
The King who learnt the Speech of Animals,,,,,ceylon_harvested,1
The Kinnarā and the Parrots,,,,,ceylon_harvested,1
The Kitul Seeds,,,,,ceylon_harvested,1
The Kulē-bakā Flowers,,,,,ceylon_harvested,1
"Kurulu-gama Appu, the Sooth-sayer",,,,,ceylon_harvested,1
The Lad who Sang Songs,,,,,ceylon_harvested,1
The Learned Poor Man,,,,,ceylon_harvested,1
A Legend of Kandy,,,,,ceylon_harvested,1
The Leopard and the Calf,,,,,ceylon_harvested,1
The Leopard and the Mouse-deer,,,,,ceylon_harvested,1
The Leopard and the Princess,,,,,ceylon_harvested,1
"The Leveret, or the Story of the Seven Women",,,,,ceylon_harvested,1
The Lion and the Bull’s Trust in Him,,,,,ceylon_harvested,1
The Lion and the Jackal,,,,,ceylon_harvested,1
The Lion and the Turtle,,,,,ceylon_harvested,1
The Lizard and the Iguana,,,,,ceylon_harvested,1
The Lizard and the Leopard,,,,,ceylon_harvested,1
The Loss that occurred to the Nobleman’s Daughter,,,,,ceylon_harvested,1
A Louse and a Bug,,,,,ceylon_harvested,1
Mātalānā,,,,,ceylon_harvested,1
Mātalangē Loku-Appu,,,,,ceylon_harvested,1
The Mad King,,,,,ceylon_harvested,1
The Maehiyallē-gama Princess,,,,,ceylon_harvested,1
The Magic Lute Player,,,,,ceylon_harvested,1
The Making of the Great Earth,,,,,ceylon_harvested,1
The Manner in which a Woman prepared a Flour Figure,,,,,ceylon_harvested,1
The Manner in which the Gamarāla buried his Sons,,,,,ceylon_harvested,1
The Margōsa Tree,,,,,ceylon_harvested,1
The Master and Servant,,,,,ceylon_harvested,1
The Millet Trader,,,,,ceylon_harvested,1
"The Monkey and the Beggar, or the Monkey Appusiññō and the Beggar Babāsiññō",,,,,ceylon_harvested,1
The Monkey and the Weaver-bird,,,,,ceylon_harvested,1
The Mouse Maiden,,,,,ceylon_harvested,1
Mr. Janel Siññā,,,,,ceylon_harvested,1
"The Nā, Mī, and Blue-Lotus Flowers’ Princesses",,,,,ceylon_harvested,1
Nagul-Munnā,,,,,ceylon_harvested,1
Nahakoṭā’s Wedding Feast,,,,,ceylon_harvested,1
Napuru Gǣnu Haddenāge Katantaraya,,,,,ceylon_harvested,1
The New Speech,,,,,ceylon_harvested,1
The Nikini Story,,,,,ceylon_harvested,1
Omitted Incidents.,,,,,ceylon_harvested,1
The Parrot and the Crow,,,,,ceylon_harvested,1
The Pied Robin,,,,,ceylon_harvested,1
