shared_n,shared_names,coll_a,file_a,title_a,coll_b,file_b,title_b
3,Christian; Christians; Jehudah,friedlander_en,004_the-two-jewels.html,THE TWO JEWELS,jewish_fairy_book_en,011_the-prince-and-the-rabbi.html,The Prince and the Rabbi
3,Christian; Christianity; Christians,friedlander_en,004_the-two-jewels.html,THE TWO JEWELS,rapaport_en,004_messiah.html,Messiah
3,Kabbalah; Kabbalistic; Kabbalists,jewish_fairy_book_en,005_the-magic-lamp.html,The Magic Lamp,ginzberg_legends_en,392_teacher-of-the-kabbalah.html,TEACHER OF THE KABBALAH
3,Antoninus; Greeks; Romans,ginzberg_legends_en,136_josephs-kindness-and-generosity.html,JOSEPH'S KINDNESS AND GENEROSITY,rapaport_en,005_genesis-rabba.html,Genesis Rabba
3,Antoninus; Asa; Obadiah,ginzberg_legends_en,136_josephs-kindness-and-generosity.html,JOSEPH'S KINDNESS AND GENEROSITY,rapaport_en,007_leviticus-rabba.html,Leviticus Rabba
3,Hagiographa; Pentateuch; Prophets,ginzberg_legends_en,215_the-time-is-at-hand.html,THE TIME IS AT HAND,rapaport_en,011_midrash-song-of-songs.html,Midrash Song of Songs
3,Italy; Micah; Sodomites,ginzberg_legends_en,345_the-crime-of-the-benjamites.html,THE CRIME OF THE BENJAMITES,rapaport_en,005_genesis-rabba.html,Genesis Rabba
3,Ezra; Haggai; Pentateuch,ginzberg_legends_en,430_ezra.html,EZRA,rapaport_en,011_midrash-song-of-songs.html,Midrash Song of Songs
3,Hagiographa; Prophets; Rephidim,ginzberg_legends_en,451_the-edict-of-the-king.html,THE EDICT OF THE KING,rapaport_en,011_midrash-song-of-songs.html,Midrash Song of Songs
